2019-08-05 14:40:04,607: [12] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectEnvInstruction, DetectDelegatecall, DetectUninitializedStorage, DetectIntegerOverflow, DetectReentrancyAdvanced, DetectSuicidal, DetectUninitializedMemory
2019-08-05 14:40:04,608: [12] m.main:INFO: Beginning analysis
2019-08-05 14:40:04,654: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-05 14:40:04,810: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-05 14:40:05,099: [12] m.c.manticore:INFO: Results in /mcore_5sr5hh1o
2019-08-05 14:40:05,889: [315] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectExternalCallAndLeak, DetectUninitializedMemory, DetectSuicidal, DetectEnvInstruction, DetectReentrancySimple, DetectReentrancyAdvanced, DetectIntegerOverflow, DetectDelegatecall, DetectUninitializedStorage, DetectInvalid
2019-08-05 14:40:05,889: [315] m.main:INFO: Beginning analysis
2019-08-05 14:40:05,899: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-05 14:41:03,414: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-05 14:42:17,177: [1579] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 14:42:26,960: [1574] m.e.detectors:WARNING: INVALID instruction
2019-08-05 14:43:06,634: [1583] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 14:43:31,064: [1559] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 14:44:41,076: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 128)
2019-08-05 14:44:41,948: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 129)
2019-08-05 14:44:42,755: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 130)
2019-08-05 14:44:43,780: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 131)
2019-08-05 14:44:44,657: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 132)
2019-08-05 14:44:45,480: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 133)
2019-08-05 14:44:46,273: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 134)
2019-08-05 14:44:47,146: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 135)
2019-08-05 14:44:48,849: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 136)
2019-08-05 14:44:49,658: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 137)
2019-08-05 14:44:50,638: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 138)
2019-08-05 14:44:51,429: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 139)
2019-08-05 14:44:52,241: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 140)
2019-08-05 14:44:53,048: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 141)
2019-08-05 14:44:53,808: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 142)
2019-08-05 14:44:54,641: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 143)
2019-08-05 14:44:55,450: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 144)
2019-08-05 14:44:56,555: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 145)
2019-08-05 14:44:57,356: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 146)
2019-08-05 14:44:59,039: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 147)
2019-08-05 14:44:59,839: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 148)
2019-08-05 14:45:00,640: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 149)
2019-08-05 14:45:01,462: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 150)
2019-08-05 14:45:02,254: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 151)
2019-08-05 14:45:03,190: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 152)
2019-08-05 14:45:03,979: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 153)
2019-08-05 14:45:04,954: [1574] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 636964083178604683131702669186342869233084355698, offset 154)
