2019-07-26 07:04:03,462: [13] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectUnusedRetVal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectDelegatecall, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUninitializedMemory, DetectUninitializedStorage, DetectIntegerOverflow
2019-07-26 07:04:03,462: [13] m.main:INFO: Beginning analysis
2019-07-26 07:04:03,484: [13] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 07:04:03,694: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 07:04:04,184: [13] m.c.manticore:INFO: Results in /mcore_f_razj6p
2019-07-26 07:04:05,063: [316] m.main:INFO: Registered plugins: DetectUninitializedStorage, DetectExternalCallAndLeak, DetectInvalid, DetectEnvInstruction, DetectReentrancySimple, DetectUnusedRetVal, DetectDelegatecall, DetectIntegerOverflow, DetectReentrancyAdvanced, DetectUninitializedMemory, DetectSuicidal
2019-07-26 07:04:05,064: [316] m.main:INFO: Beginning analysis
2019-07-26 07:04:05,079: [316] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 07:05:17,211: [316] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-26 07:07:11,367: [1878] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 07:07:59,349: [1858] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 07:10:09,022: [1849] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 07:10:46,079: [1849] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 07:14:49,078: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 128)
2019-07-26 07:14:51,537: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 129)
2019-07-26 07:14:54,576: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 130)
2019-07-26 07:14:57,329: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 131)
2019-07-26 07:14:59,641: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 132)
2019-07-26 07:15:02,076: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 133)
2019-07-26 07:15:08,677: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 134)
2019-07-26 07:15:11,537: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 135)
2019-07-26 07:15:14,877: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 136)
2019-07-26 07:15:18,150: [1847] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1333271667467721149283967828399594616063384233505, offset 137)
