2019-07-25 21:33:34,658: [12] m.main:INFO: Registered plugins: DetectDelegatecall, DetectIntegerOverflow, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectReentrancyAdvanced, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory
2019-07-25 21:33:34,658: [12] m.main:INFO: Beginning analysis
2019-07-25 21:33:34,679: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 21:33:34,827: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-25 21:33:35,488: [12] m.c.manticore:INFO: Results in /mcore_0mzrjmz2
2019-07-25 21:33:36,393: [315] m.main:INFO: Registered plugins: DetectUninitializedStorage, DetectExternalCallAndLeak, DetectDelegatecall, DetectIntegerOverflow, DetectUninitializedMemory, DetectSuicidal, DetectEnvInstruction, DetectUnusedRetVal, DetectReentrancySimple, DetectReentrancyAdvanced, DetectInvalid
2019-07-25 21:33:36,393: [315] m.main:INFO: Beginning analysis
2019-07-25 21:33:36,405: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 21:33:55,576: [367] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:33:56,982: [367] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:34:23,489: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-25 21:35:10,090: [1533] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:36:04,981: [1536] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 21:36:17,924: [1536] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:36:30,561: [1533] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:36:32,824: [1518] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 21:37:34,417: [1544] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 21:38:10,170: [1544] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 21:38:14,557: [1516] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 21:41:00,117: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 128)
2019-07-25 21:41:02,574: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 129)
2019-07-25 21:41:05,361: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 130)
2019-07-25 21:41:07,753: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 131)
2019-07-25 21:41:10,074: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 132)
2019-07-25 21:41:12,734: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 133)
2019-07-25 21:41:14,762: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 134)
2019-07-25 21:41:17,321: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 135)
2019-07-25 21:41:19,665: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 136)
2019-07-25 21:41:21,373: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 137)
2019-07-25 21:41:23,149: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 138)
2019-07-25 21:41:28,579: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 139)
2019-07-25 21:41:30,855: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 140)
2019-07-25 21:41:33,729: [1543] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1382062776162349068040785349622492367545982378980, offset 141)
