2019-07-26 03:31:21,761: [12] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectDelegatecall, DetectEnvInstruction, DetectUninitializedMemory, DetectExternalCallAndLeak, DetectIntegerOverflow
2019-07-26 03:31:21,761: [12] m.main:INFO: Beginning analysis
2019-07-26 03:31:21,778: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 03:31:21,977: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 03:31:22,391: [12] m.c.manticore:INFO: Results in /mcore_m9m_ue58
2019-07-26 03:31:23,250: [315] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectDelegatecall, DetectUnusedRetVal, DetectUninitializedStorage, DetectExternalCallAndLeak, DetectReentrancyAdvanced, DetectSuicidal, DetectUninitializedMemory, DetectEnvInstruction, DetectIntegerOverflow
2019-07-26 03:31:23,250: [315] m.main:INFO: Beginning analysis
2019-07-26 03:31:23,270: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 03:32:32,389: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-26 03:33:47,049: [1946] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 03:34:52,676: [1935] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 03:35:04,774: [1981] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 03:35:22,365: [1946] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 03:35:50,161: [1953] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-26 03:40:27,179: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 128)
2019-07-26 03:40:29,917: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 129)
2019-07-26 03:40:33,377: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 130)
2019-07-26 03:40:35,553: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 131)
2019-07-26 03:40:37,872: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 132)
2019-07-26 03:40:40,030: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 133)
2019-07-26 03:40:42,075: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 134)
2019-07-26 03:40:44,875: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 135)
2019-07-26 03:40:47,370: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 136)
2019-07-26 03:40:49,031: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 137)
2019-07-26 03:40:54,477: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 138)
2019-07-26 03:40:56,817: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 139)
2019-07-26 03:40:59,278: [1937] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 604490932131751790027225939215776705085729414952, offset 140)
