2019-07-24 05:48:43,998: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectEnvInstruction, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectUninitializedMemory, DetectReentrancyAdvanced, DetectDelegatecall, DetectIntegerOverflow
2019-07-24 05:48:43,998: [12] m.main:INFO: Beginning analysis
2019-07-24 05:48:44,058: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 05:48:44,289: [59] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-24 05:48:44,720: [12] m.c.manticore:INFO: Results in /mcore_o0t59idu
2019-07-24 05:48:45,582: [315] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectSuicidal, DetectUninitializedStorage, DetectIntegerOverflow, DetectEnvInstruction, DetectReentrancyAdvanced, DetectDelegatecall, DetectUninitializedMemory
2019-07-24 05:48:45,582: [315] m.main:INFO: Beginning analysis
2019-07-24 05:48:45,593: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 05:49:03,085: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:49:04,393: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:49:26,871: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-24 05:50:03,454: [1533] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:50:55,426: [1533] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:51:07,222: [1533] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:51:18,510: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:51:27,470: [1535] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:52:14,826: [1531] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:52:43,365: [1531] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:52:43,420: [1529] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:55:28,130: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 128)
2019-07-24 05:55:30,922: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 129)
2019-07-24 05:55:33,738: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 130)
2019-07-24 05:55:37,219: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 131)
2019-07-24 05:55:40,762: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 132)
2019-07-24 05:55:48,547: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 133)
2019-07-24 05:55:51,755: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 134)
2019-07-24 05:55:54,538: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 135)
2019-07-24 05:55:57,214: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 136)
2019-07-24 05:56:01,130: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 137)
2019-07-24 05:56:03,710: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 138)
2019-07-24 05:56:07,812: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 139)
2019-07-24 05:56:10,610: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 140)
2019-07-24 05:56:13,856: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 141)
2019-07-24 05:56:15,656: [1529] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:56:16,910: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 142)
2019-07-24 05:56:21,934: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 143)
2019-07-24 05:56:25,606: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 144)
2019-07-24 05:56:27,615: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 145)
2019-07-24 05:56:37,347: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 146)
2019-07-24 05:56:40,562: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 147)
2019-07-24 05:56:43,338: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 148)
2019-07-24 05:56:46,158: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 149)
2019-07-24 05:56:48,746: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1203180966594375805601787085612050433915034159620, offset 150)
