2019-08-05 23:45:58,311: [12] m.main:INFO: Registered plugins: DetectEnvInstruction, DetectIntegerOverflow, DetectReentrancyAdvanced, DetectInvalid, DetectDelegatecall, DetectSuicidal, DetectUninitializedStorage, DetectExternalCallAndLeak, DetectUnusedRetVal, DetectReentrancySimple, DetectUninitializedMemory
2019-08-05 23:45:58,312: [12] m.main:INFO: Beginning analysis
2019-08-05 23:45:58,350: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-05 23:46:03,876: [12] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-05 23:46:53,104: [12] m.e.manticore:INFO: 7 alive states, 17 terminated states
2019-08-05 23:46:56,837: [12] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-08-05 23:57:08,525: [3761] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 23:57:40,975: [3794] m.c.worker:ERROR: Exception in state 9: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-06 00:03:00,477: [3780] m.c.worker:ERROR: Exception in state 6: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-06 00:03:01,204: [12] m.e.manticore:INFO: 47 alive states, 136 terminated states
2019-08-06 00:03:06,487: [28430] m.c.manticore:INFO: Generated testcase No. 3 - RETURN(3 txs)
2019-08-06 00:03:06,558: [28429] m.c.manticore:INFO: Generated testcase No. 1 - RETURN(3 txs)
2019-08-06 00:03:06,572: [28448] m.c.manticore:INFO: Generated testcase No. 2 - RETURN(3 txs)
2019-08-06 00:03:06,618: [28425] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(3 txs)
2019-08-06 00:03:06,651: [28464] m.c.manticore:INFO: Generated testcase No. 4 - RETURN(3 txs)
2019-08-06 00:03:06,825: [28476] m.c.manticore:INFO: Generated testcase No. 7 - RETURN(3 txs)
2019-08-06 00:03:06,849: [28456] m.c.manticore:INFO: Generated testcase No. 6 - RETURN(3 txs)
2019-08-06 00:03:06,886: [28437] m.c.manticore:INFO: Generated testcase No. 5 - RETURN(3 txs)
2019-08-06 00:03:38,519: [28448] m.c.manticore:INFO: Generated testcase No. 8 - RETURN(3 txs)
2019-08-06 00:03:39,873: [28430] m.c.manticore:INFO: Generated testcase No. 9 - RETURN(3 txs)
2019-08-06 00:03:41,657: [28476] m.c.manticore:INFO: Generated testcase No. 10 - RETURN(3 txs)
2019-08-06 00:03:43,049: [28464] m.c.manticore:INFO: Generated testcase No. 11 - RETURN(3 txs)
2019-08-06 00:03:43,222: [28456] m.c.manticore:INFO: Generated testcase No. 12 - RETURN(3 txs)
2019-08-06 00:03:47,500: [28437] m.c.manticore:INFO: Generated testcase No. 13 - RETURN(3 txs)
2019-08-06 00:03:49,271: [28429] m.c.manticore:INFO: Generated testcase No. 14 - RETURN(3 txs)
2019-08-06 00:03:53,517: [28425] m.c.manticore:INFO: Generated testcase No. 15 - RETURN(3 txs)
2019-08-06 00:04:09,689: [28476] m.c.manticore:INFO: Generated testcase No. 16 - RETURN(3 txs)
2019-08-06 00:04:10,731: [28464] m.c.manticore:INFO: Generated testcase No. 17 - RETURN(3 txs)
2019-08-06 00:04:13,561: [28430] m.c.manticore:INFO: Generated testcase No. 18 - RETURN(3 txs)
2019-08-06 00:04:14,625: [28448] m.c.manticore:INFO: Generated testcase No. 19 - RETURN(3 txs)
2019-08-06 00:04:16,364: [28456] m.c.manticore:INFO: Generated testcase No. 20 - RETURN(3 txs)
2019-08-06 00:04:16,525: [28437] m.c.manticore:INFO: Generated testcase No. 21 - RETURN(3 txs)
2019-08-06 00:04:23,714: [28425] m.c.manticore:INFO: Generated testcase No. 22 - RETURN(3 txs)
2019-08-06 00:04:23,946: [28429] m.c.manticore:INFO: Generated testcase No. 23 - RETURN(3 txs)
2019-08-06 00:04:37,314: [28476] m.c.manticore:INFO: Generated testcase No. 24 - RETURN(3 txs)
2019-08-06 00:04:37,957: [28464] m.c.manticore:INFO: Generated testcase No. 25 - RETURN(3 txs)
2019-08-06 00:04:39,739: [28430] m.c.manticore:INFO: Generated testcase No. 26 - RETURN(3 txs)
2019-08-06 00:04:43,848: [28437] m.c.manticore:INFO: Generated testcase No. 27 - RETURN(3 txs)
