/unique_chucks/8/0xf78510ead1514994ef8001432a435105f7729233.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 251
column: 4
content: functionsetParams(uintnewBasisPoints,uintnewMaxFee,uintnewMinFee)publiconlyOwner{require(newBasisPoints<=9);require(newMaxFee<=100);require(newMinFee<=5);basisPointsRate=newBasisPoints;maximumFee=newMaxFee.mul(10**uint(decimals));minimumFee=newMinFee.mul(10**uint(decimals));emitParams(basisPointsRate,maximumFee,minimumFee);}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
patternId: 5616b2
severity: 1
line: 69
column: 9
content: private

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 65
column: 4
content: usingSafeMathforuint;

SOLIDITY_SAFEMATH :1
SOLIDITY_OVERPOWERED_ROLE :1
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA :1
