2019-08-07 00:15:34,484: [13] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectDelegatecall, DetectEnvInstruction, DetectUnusedRetVal, DetectUninitializedMemory, DetectExternalCallAndLeak, DetectSuicidal, DetectIntegerOverflow
2019-08-07 00:15:34,484: [13] m.main:INFO: Beginning analysis
2019-08-07 00:15:34,527: [13] m.e.manticore:INFO: Starting symbolic create contract
2019-08-07 00:15:34,750: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-07 00:15:35,073: [13] m.c.manticore:INFO: Results in /mcore_xheyykec
2019-08-07 00:15:35,924: [316] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectEnvInstruction, DetectDelegatecall, DetectUninitializedStorage, DetectSuicidal, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectExternalCallAndLeak, DetectUninitializedMemory, DetectIntegerOverflow
2019-08-07 00:15:35,924: [316] m.main:INFO: Beginning analysis
2019-08-07 00:15:35,948: [316] m.e.manticore:INFO: Starting symbolic create contract
2019-08-07 00:15:42,246: [364] m.e.detectors:WARNING: Warning TIMESTAMP instruction used
2019-08-07 00:15:45,242: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 416)
2019-08-07 00:15:45,259: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 417)
2019-08-07 00:15:45,271: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 418)
2019-08-07 00:15:45,300: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 419)
2019-08-07 00:15:45,340: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 420)
2019-08-07 00:15:45,357: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 421)
2019-08-07 00:15:45,370: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 422)
2019-08-07 00:15:45,423: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 423)
2019-08-07 00:15:45,441: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 424)
2019-08-07 00:15:45,457: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 425)
2019-08-07 00:15:45,469: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 426)
2019-08-07 00:15:45,501: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 427)
2019-08-07 00:15:45,547: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 428)
2019-08-07 00:15:45,563: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 429)
2019-08-07 00:15:45,586: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 430)
2019-08-07 00:15:45,647: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 431)
2019-08-07 00:15:45,663: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 432)
2019-08-07 00:15:45,682: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 433)
2019-08-07 00:15:45,744: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 434)
2019-08-07 00:15:45,760: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 435)
2019-08-07 00:15:45,772: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 436)
2019-08-07 00:15:45,839: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 437)
2019-08-07 00:15:45,855: [364] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1097825214706903174705700084292326122188338347606, offset 438)
