2019-07-26 02:34:43,297: [12] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectSuicidal, DetectUninitializedStorage, DetectEnvInstruction, DetectReentrancyAdvanced, DetectDelegatecall, DetectUninitializedMemory, DetectIntegerOverflow
2019-07-26 02:34:43,298: [12] m.main:INFO: Beginning analysis
2019-07-26 02:34:43,309: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 02:34:43,591: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 02:34:44,293: [12] m.c.manticore:INFO: Results in /mcore__iwx5tw2
2019-07-26 02:34:45,209: [315] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectInvalid, DetectSuicidal, DetectUninitializedStorage, DetectIntegerOverflow, DetectDelegatecall, DetectEnvInstruction, DetectReentrancySimple, DetectUninitializedMemory, DetectUnusedRetVal, DetectExternalCallAndLeak
2019-07-26 02:34:45,209: [315] m.main:INFO: Beginning analysis
2019-07-26 02:34:45,273: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 02:35:17,491: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:35:19,090: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:35:51,096: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-26 02:37:06,255: [1526] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:38:38,929: [1538] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 02:38:44,968: [1536] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:38:51,133: [1538] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:39:03,053: [1522] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 02:40:48,729: [1539] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 02:41:48,869: [1539] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 02:42:13,925: [1518] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-26 02:48:39,737: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 128)
2019-07-26 02:48:44,173: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 129)
2019-07-26 02:48:52,137: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 130)
2019-07-26 02:48:58,826: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 131)
2019-07-26 02:49:05,285: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 132)
2019-07-26 02:49:19,729: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 133)
2019-07-26 02:49:26,150: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 134)
2019-07-26 02:49:32,573: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 135)
2019-07-26 02:49:39,886: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 136)
2019-07-26 02:49:48,449: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 137)
2019-07-26 02:49:54,173: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 138)
2019-07-26 02:50:00,765: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 139)
2019-07-26 02:50:06,457: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 140)
2019-07-26 02:50:13,633: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 141)
2019-07-26 02:50:29,135: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 142)
2019-07-26 02:50:36,629: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 143)
2019-07-26 02:50:44,461: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 144)
2019-07-26 02:50:50,662: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 145)
2019-07-26 02:50:55,621: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 146)
2019-07-26 02:51:01,142: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 147)
2019-07-26 02:51:07,421: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 148)
2019-07-26 02:51:15,425: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 149)
2019-07-26 02:51:18,354: [1542] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 181587953480767465721969388202602170878812680038, offset 128)
