2019-07-26 06:03:00,096: [12] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectDelegatecall, DetectInvalid, DetectReentrancySimple, DetectUninitializedMemory, DetectReentrancyAdvanced, DetectSuicidal, DetectUninitializedStorage, DetectExternalCallAndLeak, DetectEnvInstruction, DetectIntegerOverflow
2019-07-26 06:03:00,096: [12] m.main:INFO: Beginning analysis
2019-07-26 06:03:00,108: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 06:03:00,508: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 06:03:01,196: [12] m.c.manticore:INFO: Results in /mcore_vi12vlug
2019-07-26 06:03:02,043: [315] m.main:INFO: Registered plugins: DetectDelegatecall, DetectReentrancyAdvanced, DetectUnusedRetVal, DetectExternalCallAndLeak, DetectUninitializedStorage, DetectSuicidal, DetectIntegerOverflow, DetectEnvInstruction, DetectUninitializedMemory, DetectReentrancySimple, DetectInvalid
2019-07-26 06:03:02,043: [315] m.main:INFO: Beginning analysis
2019-07-26 06:03:02,074: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 06:03:02,511: [359] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 06:03:03,095: [315] m.c.manticore:INFO: Results in /mcore_ap4iol8z
2019-07-26 06:03:04,009: [618] m.main:INFO: Registered plugins: DetectIntegerOverflow, DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectSuicidal, DetectEnvInstruction, DetectUninitializedStorage, DetectReentrancyAdvanced, DetectDelegatecall, DetectUninitializedMemory
2019-07-26 06:03:04,009: [618] m.main:INFO: Beginning analysis
2019-07-26 06:03:04,076: [618] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 06:03:19,411: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 160)
2019-07-26 06:03:19,477: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 161)
2019-07-26 06:03:19,499: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 162)
2019-07-26 06:03:19,562: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 163)
2019-07-26 06:03:19,595: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 164)
2019-07-26 06:03:19,661: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 165)
2019-07-26 06:03:19,694: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 166)
2019-07-26 06:03:19,713: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 167)
2019-07-26 06:03:19,783: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 168)
2019-07-26 06:03:19,800: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 169)
2019-07-26 06:03:19,881: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 170)
2019-07-26 06:03:19,899: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 171)
2019-07-26 06:03:19,969: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 172)
2019-07-26 06:03:19,989: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 173)
2019-07-26 06:03:20,005: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 174)
2019-07-26 06:03:20,074: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 175)
2019-07-26 06:03:20,094: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 176)
2019-07-26 06:03:20,112: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 177)
2019-07-26 06:03:20,183: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 178)
2019-07-26 06:03:20,204: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 179)
2019-07-26 06:03:20,278: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 180)
2019-07-26 06:03:20,298: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 181)
2019-07-26 06:03:20,377: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 182)
2019-07-26 06:03:20,397: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 183)
2019-07-26 06:03:20,469: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 184)
2019-07-26 06:03:20,501: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 185)
2019-07-26 06:03:20,561: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 186)
2019-07-26 06:03:20,593: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 187)
2019-07-26 06:03:20,653: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 188)
2019-07-26 06:03:20,685: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 189)
2019-07-26 06:03:20,703: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 190)
2019-07-26 06:03:20,763: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 191)
2019-07-26 06:03:23,575: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 192)
2019-07-26 06:03:23,598: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 193)
2019-07-26 06:03:23,669: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 194)
2019-07-26 06:03:23,695: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 195)
2019-07-26 06:03:23,755: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 196)
2019-07-26 06:03:23,799: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 197)
2019-07-26 06:03:23,863: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 198)
2019-07-26 06:03:23,894: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 199)
2019-07-26 06:03:23,910: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 200)
2019-07-26 06:03:23,977: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 201)
2019-07-26 06:03:23,998: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 202)
2019-07-26 06:03:24,063: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 203)
2019-07-26 06:03:24,091: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 204)
2019-07-26 06:03:24,133: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 205)
2019-07-26 06:03:24,184: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 206)
2019-07-26 06:03:24,205: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 207)
2019-07-26 06:03:24,273: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 208)
2019-07-26 06:03:24,295: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 209)
2019-07-26 06:03:24,358: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 210)
2019-07-26 06:03:24,393: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 211)
2019-07-26 06:03:24,434: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 212)
2019-07-26 06:03:24,480: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 213)
2019-07-26 06:03:24,500: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 214)
2019-07-26 06:03:24,555: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 215)
2019-07-26 06:03:24,588: [666] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1016155281434340273076795955314727900468641600424, offset 216)
