2019-07-25 04:52:32,156: [12] m.main:INFO: Registered plugins: DetectDelegatecall, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectIntegerOverflow
2019-07-25 04:52:32,156: [12] m.main:INFO: Beginning analysis
2019-07-25 04:52:32,176: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 04:52:32,389: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-25 04:52:32,988: [12] m.c.manticore:INFO: Results in /mcore_908p8bd5
2019-07-25 04:52:33,766: [315] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectExternalCallAndLeak, DetectSuicidal, DetectReentrancyAdvanced, DetectEnvInstruction, DetectIntegerOverflow, DetectUninitializedMemory, DetectDelegatecall
2019-07-25 04:52:33,766: [315] m.main:INFO: Beginning analysis
2019-07-25 04:52:33,777: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 04:52:50,269: [368] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:52:51,578: [368] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:53:15,114: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-25 04:53:57,870: [1522] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:54:50,446: [1524] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 04:55:01,410: [1524] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:55:06,922: [1516] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:55:08,906: [1530] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 04:56:01,231: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 04:56:32,754: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-25 04:56:41,258: [1522] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-25 04:59:33,614: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 128)
2019-07-25 04:59:36,450: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 129)
2019-07-25 04:59:39,568: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 130)
2019-07-25 04:59:46,118: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 131)
2019-07-25 04:59:48,566: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 132)
2019-07-25 04:59:51,638: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 133)
2019-07-25 04:59:54,607: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 134)
2019-07-25 04:59:57,138: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 135)
2019-07-25 05:00:00,343: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 136)
2019-07-25 05:00:02,710: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 137)
2019-07-25 05:00:05,058: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 138)
2019-07-25 05:00:09,559: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 139)
2019-07-25 05:00:11,615: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 140)
2019-07-25 05:00:14,040: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 141)
2019-07-25 05:00:22,202: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 142)
2019-07-25 05:00:24,958: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 143)
2019-07-25 05:00:28,042: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 144)
2019-07-25 05:00:30,214: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 145)
2019-07-25 05:00:32,350: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 146)
2019-07-25 05:00:34,806: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 147)
2019-07-25 05:00:38,802: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 148)
2019-07-25 05:00:41,510: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 149)
2019-07-25 05:00:43,854: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 150)
2019-07-25 05:00:47,167: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 151)
2019-07-25 05:00:50,150: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 152)
2019-07-25 05:00:50,225: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 128)
2019-07-25 05:00:52,542: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 153)
2019-07-25 05:00:52,752: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 129)
2019-07-25 05:00:54,922: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 130)
2019-07-25 05:00:54,962: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 154)
2019-07-25 05:00:57,745: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 131)
2019-07-25 05:00:58,526: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 155)
2019-07-25 05:01:00,550: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 132)
2019-07-25 05:01:02,770: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 156)
2019-07-25 05:01:08,542: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 133)
2019-07-25 05:01:11,243: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 134)
2019-07-25 05:01:11,250: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 157)
2019-07-25 05:01:12,930: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 135)
2019-07-25 05:01:14,026: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 158)
2019-07-25 05:01:15,266: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 136)
2019-07-25 05:01:17,062: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 159)
2019-07-25 05:01:19,257: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 137)
2019-07-25 05:01:22,365: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 138)
2019-07-25 05:01:25,459: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 139)
2019-07-25 05:01:28,134: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 140)
2019-07-25 05:01:28,330: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 128)
2019-07-25 05:01:30,914: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 141)
2019-07-25 05:01:31,067: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 129)
2019-07-25 05:01:32,838: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 142)
2019-07-25 05:01:33,376: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 130)
2019-07-25 05:01:35,067: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 143)
2019-07-25 05:01:37,130: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 131)
2019-07-25 05:01:37,247: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 144)
2019-07-25 05:01:39,865: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 132)
2019-07-25 05:01:40,306: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 145)
2019-07-25 05:01:42,542: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 133)
2019-07-25 05:01:42,862: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 146)
2019-07-25 05:01:46,202: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 134)
2019-07-25 05:01:46,438: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 147)
2019-07-25 05:01:48,842: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 135)
2019-07-25 05:01:51,966: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 136)
2019-07-25 05:01:53,147: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 148)
2019-07-25 05:01:54,370: [1530] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 137)
2019-07-25 05:01:55,254: [1516] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1104973864482712623772479158818757976467944913516, offset 149)
