/unique_chucks/46/0x3403068e59ddaf7ffb68ea58275b15aa2725d488.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_DIV_MUL
patternId: 09hhh1
severity: 2
line: 310
column: 29
content: tokens.div(exchange).mul(10**uint256(18))

ruleId: SOLIDITY_ERC20_APPROVE
patternId: af782c
severity: 2
line: 175
column: 4
content: functionapprove(address_spender,uint256_value)publicreturns(bool){allowed[msg.sender][_spender]=_value;emitApproval(msg.sender,_spender,_value);returntrue;}

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 230
column: 0
content: contractSCCTokenisStandardToken{stringpublicname="Source Code Chain Token";stringpublicsymbol="SCC";uint8publicdecimals=6;uintpublicINITIAL_SUPPLY=10000000000;uint256publicexchange=100000*10**uint256(decimals);addresspublictarget;addresspublicfoundationTarget;uint256publictotalWeiReceived=0;uintpublicissueIndex=0;boolpublicisProgress=true;eventIssue(uintissueIndex,addressaddr,uint256ethAmount,uint256tokenAmount);modifierowner{if(target==msg.sender){_;}else{revert();}}modifierprogress{if(isProgress){_;}else{revert();}}functionSCCToken(address_target,address_foundationTarget)public{totalSupply_=INITIAL_SUPPLY*10**uint256(decimals);target=_target;foundationTarget=_foundationTarget;balances[target]=2000000000*10**uint256(decimals);balances[foundationTarget]=8000000000*10**uint256(decimals);}function()payableprogresspublic{assert(balances[target]>0);assert(msg.value>=0.0001ether);uint256tokens;uint256usingWeiAmount;(tokens,usingWeiAmount)=computeTokenAmount(msg.value);totalWeiReceived=totalWeiReceived.add(usingWeiAmount);balances[target]=balances[target].sub(tokens);balances[msg.sender]=balances[msg.sender].add(tokens);emitIssue(issueIndex++,msg.sender,usingWeiAmount,tokens);if(!target.send(usingWeiAmount)){revert();}if(usingWeiAmount<msg.value){uint256returnWeiAmount=msg.value-usingWeiAmount;if(!msg.sender.send(returnWeiAmount)){revert();}}}functioncomputeTokenAmount(uint256weiAmount)internalviewreturns(uint256tokens,uint256usingWeiAmount){tokens=weiAmount.mul(exchange).div(10**uint256(18));if(tokens<=balances[target]){usingWeiAmount=weiAmount;}else{tokens=balances[target];usingWeiAmount=tokens.div(exchange).mul(10**uint256(18));}return(tokens,usingWeiAmount);}functionchangeOwner(address_target)ownerpublic{if(_target!=target){balances[_target]=balances[_target].add(balances[target]);balances[target]=0;target=_target;}}}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 18
column: 16
content: ^

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 250
column: 8
content: if(target==msg.sender){_;}else{revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 258
column: 8
content: if(isProgress){_;}else{revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 292
column: 8
content: if(!target.send(usingWeiAmount)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 298
column: 12
content: if(!msg.sender.send(returnWeiAmount)){revert();}

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 84
column: 4
content: usingSafeMathforuint256;

ruleId: SOLIDITY_SEND
patternId: 430636
severity: 1
line: 292
column: 20
content: send(usingWeiAmount)

ruleId: SOLIDITY_SEND
patternId: 430636
severity: 1
line: 298
column: 27
content: send(returnWeiAmount)

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 7d54ca
severity: 1
line: 304
column: 73
content: (uint256tokens,uint256usingWeiAmount)

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 91h3sa
severity: 1
line: 273
column: 33
content: public

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 86
column: 4
content: mapping(address=>uint256)balances;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 88
column: 4
content: uint256totalSupply_;

SOLIDITY_VISIBILITY :2
SOLIDITY_SAFEMATH :1
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_REVERT_REQUIRE :4
SOLIDITY_LOCKED_MONEY :1
SOLIDITY_SEND :2
SOLIDITY_UPGRADE_TO_050 :1
SOLIDITY_DIV_MUL :1
SOLIDITY_SHOULD_RETURN_STRUCT :1
SOLIDITY_ERC20_APPROVE :1
