2019-08-04 16:34:09,472: [12] m.main:INFO: Registered plugins: DetectDelegatecall, DetectReentrancyAdvanced, DetectInvalid, DetectExternalCallAndLeak, DetectUnusedRetVal, DetectSuicidal, DetectUninitializedMemory, DetectEnvInstruction, DetectReentrancySimple, DetectIntegerOverflow, DetectUninitializedStorage
2019-08-04 16:34:09,473: [12] m.main:INFO: Beginning analysis
2019-08-04 16:34:09,501: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-04 16:34:09,613: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-04 16:34:09,823: [12] m.c.manticore:INFO: Results in /mcore_d2ld4u1t
2019-08-04 16:34:10,425: [315] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectDelegatecall, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectReentrancyAdvanced, DetectUninitializedMemory
2019-08-04 16:34:10,426: [315] m.main:INFO: Beginning analysis
2019-08-04 16:34:10,437: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-04 16:34:46,637: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-04 16:35:11,003: [1618] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 16:35:21,499: [1598] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 16:35:38,075: [1613] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 16:35:38,228: [1611] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 16:36:01,828: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 128)
2019-08-04 16:36:02,211: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 129)
2019-08-04 16:36:02,998: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 130)
2019-08-04 16:36:03,336: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 131)
2019-08-04 16:36:03,726: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 132)
2019-08-04 16:36:04,096: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 133)
2019-08-04 16:36:04,445: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 134)
2019-08-04 16:36:04,817: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 135)
2019-08-04 16:36:05,196: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 136)
2019-08-04 16:36:05,550: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 137)
2019-08-04 16:36:05,897: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 138)
2019-08-04 16:36:06,263: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 139)
2019-08-04 16:36:06,621: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 140)
2019-08-04 16:36:07,427: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 141)
2019-08-04 16:36:07,796: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 142)
2019-08-04 16:36:08,157: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 143)
2019-08-04 16:36:08,518: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 144)
2019-08-04 16:36:09,104: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 145)
2019-08-04 16:36:09,497: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 146)
2019-08-04 16:36:09,861: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 147)
2019-08-04 16:36:10,231: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 148)
2019-08-04 16:36:10,608: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 149)
2019-08-04 16:36:10,957: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 150)
2019-08-04 16:36:11,321: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 151)
2019-08-04 16:36:11,687: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 152)
2019-08-04 16:36:12,055: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 153)
2019-08-04 16:36:12,409: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 154)
2019-08-04 16:36:13,267: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 155)
2019-08-04 16:36:13,622: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 156)
2019-08-04 16:36:14,143: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 157)
2019-08-04 16:36:14,506: [1603] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 128)
2019-08-04 16:36:14,510: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 158)
2019-08-04 16:36:14,872: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 159)
2019-08-04 16:36:15,215: [1603] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 129)
2019-08-04 16:36:15,597: [1603] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 130)
2019-08-04 16:36:15,829: [1613] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 999081835839201909400486796901879786509407267347, offset 128)
