2019-08-07 00:00:24,502: [12] m.main:INFO: Registered plugins: DetectDelegatecall, DetectReentrancyAdvanced, DetectInvalid, DetectUninitializedMemory, DetectUnusedRetVal, DetectReentrancySimple, DetectIntegerOverflow, DetectEnvInstruction, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak
2019-08-07 00:00:24,502: [12] m.main:INFO: Beginning analysis
2019-08-07 00:00:24,534: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-07 00:00:30,207: [12] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-07 00:01:21,482: [12] m.e.manticore:INFO: 7 alive states, 17 terminated states
2019-08-07 00:01:25,259: [12] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-08-07 00:08:04,236: [3782] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-07 00:22:15,139: [3770] m.c.worker:ERROR: Exception in state 4: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-07 00:23:58,093: [3789] m.c.worker:ERROR: Exception in state 8: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-07 00:23:58,603: [12] m.e.manticore:INFO: 47 alive states, 136 terminated states
2019-08-07 00:24:04,075: [29104] m.c.manticore:INFO: Generated testcase No. 4 - RETURN(3 txs)
2019-08-07 00:24:04,110: [29110] m.c.manticore:INFO: Generated testcase No. 1 - RETURN(3 txs)
2019-08-07 00:24:04,195: [29118] m.c.manticore:INFO: Generated testcase No. 6 - RETURN(3 txs)
2019-08-07 00:24:04,197: [29097] m.c.manticore:INFO: Generated testcase No. 7 - RETURN(3 txs)
2019-08-07 00:24:04,295: [29090] m.c.manticore:INFO: Generated testcase No. 8 - RETURN(3 txs)
2019-08-07 00:24:04,410: [29082] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(3 txs)
2019-08-07 00:24:04,636: [29060] m.c.manticore:INFO: Generated testcase No. 9 - RETURN(3 txs)
2019-08-07 00:24:04,679: [29064] m.c.manticore:INFO: Generated testcase No. 3 - RETURN(3 txs)
2019-08-07 00:24:04,718: [29075] m.c.manticore:INFO: Generated testcase No. 5 - RETURN(3 txs)
2019-08-07 00:24:04,921: [29071] m.c.manticore:INFO: Generated testcase No. 2 - RETURN(3 txs)
2019-08-07 00:24:38,512: [29090] m.c.manticore:INFO: Generated testcase No. 10 - RETURN(3 txs)
2019-08-07 00:24:39,811: [29104] m.c.manticore:INFO: Generated testcase No. 11 - RETURN(3 txs)
2019-08-07 00:24:40,361: [29118] m.c.manticore:INFO: Generated testcase No. 12 - RETURN(3 txs)
2019-08-07 00:24:41,615: [29110] m.c.manticore:INFO: Generated testcase No. 13 - RETURN(3 txs)
2019-08-07 00:24:43,414: [29097] m.c.manticore:INFO: Generated testcase No. 14 - RETURN(3 txs)
2019-08-07 00:24:47,392: [29064] m.c.manticore:INFO: Generated testcase No. 15 - RETURN(3 txs)
2019-08-07 00:24:49,129: [29075] m.c.manticore:INFO: Generated testcase No. 16 - RETURN(3 txs)
2019-08-07 00:24:49,385: [29071] m.c.manticore:INFO: Generated testcase No. 17 - RETURN(3 txs)
2019-08-07 00:24:52,397: [29060] m.c.manticore:INFO: Generated testcase No. 18 - RETURN(3 txs)
2019-08-07 00:24:56,798: [29082] m.c.manticore:INFO: Generated testcase No. 19 - RETURN(3 txs)
2019-08-07 00:25:13,684: [29090] m.c.manticore:INFO: Generated testcase No. 20 - RETURN(3 txs)
2019-08-07 00:25:16,501: [29104] m.c.manticore:INFO: Generated testcase No. 21 - RETURN(3 txs)
2019-08-07 00:25:20,209: [29118] m.c.manticore:INFO: Generated testcase No. 22 - RETURN(3 txs)
2019-08-07 00:25:24,032: [29071] m.c.manticore:INFO: Generated testcase No. 23 - RETURN(3 txs)
2019-08-07 00:25:24,174: [29064] m.c.manticore:INFO: Generated testcase No. 24 - RETURN(3 txs)
2019-08-07 00:25:25,930: [29097] m.c.manticore:INFO: Generated testcase No. 25 - RETURN(3 txs)
2019-08-07 00:25:26,426: [29060] m.c.manticore:INFO: Generated testcase No. 26 - RETURN(3 txs)
2019-08-07 00:25:27,942: [29075] m.c.manticore:INFO: Generated testcase No. 27 - RETURN(3 txs)
