2019-07-23 01:32:25,290: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectIntegerOverflow, DetectDelegatecall, DetectEnvInstruction, DetectUnusedRetVal, DetectUninitializedMemory, DetectExternalCallAndLeak
2019-07-23 01:32:25,290: [12] m.main:INFO: Beginning analysis
2019-07-23 01:32:25,322: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-23 01:32:25,690: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-23 01:32:26,178: [12] m.c.manticore:INFO: Results in /mcore_unva_uyz
2019-07-23 01:32:26,963: [315] m.main:INFO: Registered plugins: DetectSuicidal, DetectReentrancySimple, DetectExternalCallAndLeak, DetectUnusedRetVal, DetectUninitializedMemory, DetectUninitializedStorage, DetectIntegerOverflow, DetectEnvInstruction, DetectReentrancyAdvanced, DetectDelegatecall, DetectInvalid
2019-07-23 01:32:26,963: [315] m.main:INFO: Beginning analysis
2019-07-23 01:32:26,975: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-23 01:32:28,520: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-23 01:32:29,568: [315] m.e.manticore:INFO: 0 alive states, 2 terminated states
2019-07-23 01:32:29,684: [315] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-07-23 01:32:29,877: [886] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(1 txs)
2019-07-23 01:32:29,885: [885] m.c.manticore:INFO: Generated testcase No. 1 - REVERT(2 txs)
2019-07-23 01:32:30,988: [315] m.c.manticore:INFO: Results in /mcore_4icjc9ns
2019-07-23 01:32:32,130: [1200] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectUnusedRetVal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUninitializedStorage, DetectDelegatecall, DetectUninitializedMemory, DetectIntegerOverflow
2019-07-23 01:32:32,130: [1200] m.main:INFO: Beginning analysis
2019-07-23 01:32:32,171: [1200] m.e.manticore:INFO: Starting symbolic create contract
2019-07-23 01:33:02,888: [1200] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-23 01:37:24,822: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 128)
2019-07-23 01:37:25,571: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 129)
2019-07-23 01:37:26,372: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 130)
2019-07-23 01:37:27,173: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 131)
2019-07-23 01:37:28,166: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 132)
2019-07-23 01:37:29,078: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 133)
2019-07-23 01:37:29,972: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 134)
2019-07-23 01:37:31,178: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 135)
2019-07-23 01:37:34,171: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 136)
2019-07-23 01:37:35,574: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 137)
2019-07-23 01:37:36,675: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 138)
2019-07-23 01:37:37,573: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 139)
2019-07-23 01:37:38,366: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 140)
2019-07-23 01:37:39,571: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 141)
2019-07-23 01:37:40,570: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 142)
2019-07-23 01:37:41,734: [2290] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 126169008443939353749170019602053669037703421764, offset 143)
