2019-07-23 21:05:20,298: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectDelegatecall, DetectEnvInstruction, DetectUninitializedMemory, DetectIntegerOverflow, DetectExternalCallAndLeak, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectSuicidal
2019-07-23 21:05:20,298: [12] m.main:INFO: Beginning analysis
2019-07-23 21:05:20,351: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-23 21:05:20,580: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-23 21:05:21,103: [12] m.c.manticore:INFO: Results in /mcore_uu0bhxod
2019-07-23 21:05:22,071: [315] m.main:INFO: Registered plugins: DetectIntegerOverflow, DetectDelegatecall, DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectEnvInstruction, DetectSuicidal, DetectUninitializedStorage, DetectReentrancyAdvanced, DetectUninitializedMemory
2019-07-23 21:05:22,071: [315] m.main:INFO: Beginning analysis
2019-07-23 21:05:22,083: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-23 21:06:27,897: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-23 21:07:28,718: [1938] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-23 21:08:24,550: [1974] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-23 21:08:27,058: [1943] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-23 21:09:07,702: [1947] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-23 21:09:32,802: [1943] m.e.detectors:WARNING: Warning NUMBER instruction used
2019-07-23 21:13:03,674: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 128)
2019-07-23 21:13:05,271: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 129)
2019-07-23 21:13:06,763: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 130)
2019-07-23 21:13:08,175: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 131)
2019-07-23 21:13:09,775: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 132)
2019-07-23 21:13:11,256: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 133)
2019-07-23 21:13:14,367: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 134)
2019-07-23 21:13:15,971: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 135)
2019-07-23 21:13:17,330: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 136)
2019-07-23 21:13:18,567: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 137)
2019-07-23 21:13:20,738: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 138)
2019-07-23 21:13:22,373: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 139)
2019-07-23 21:13:23,870: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 140)
2019-07-23 21:13:24,962: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 141)
2019-07-23 21:13:26,071: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 142)
2019-07-23 21:13:29,010: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 143)
2019-07-23 21:13:31,077: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 144)
2019-07-23 21:13:33,170: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 145)
2019-07-23 21:13:35,470: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 146)
2019-07-23 21:13:37,575: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 147)
2019-07-23 21:13:40,334: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 148)
2019-07-23 21:13:42,030: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 128)
2019-07-23 21:13:42,654: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 149)
2019-07-23 21:13:44,566: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 129)
2019-07-23 21:13:44,640: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 150)
2019-07-23 21:13:46,911: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 130)
2019-07-23 21:13:47,014: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 151)
2019-07-23 21:13:48,930: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 152)
2019-07-23 21:13:49,547: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 131)
2019-07-23 21:13:51,710: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 153)
2019-07-23 21:13:51,771: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 132)
2019-07-23 21:13:54,536: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 133)
2019-07-23 21:13:57,034: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 154)
2019-07-23 21:13:59,244: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 155)
2019-07-23 21:14:01,134: [1962] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 134)
2019-07-23 21:14:01,169: [1970] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 47545497905588703146380395501615376839412088385, offset 156)
