2019-07-26 04:33:27,712: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectDelegatecall, DetectEnvInstruction, DetectUnusedRetVal, DetectUninitializedMemory, DetectExternalCallAndLeak, DetectIntegerOverflow
2019-07-26 04:33:27,712: [12] m.main:INFO: Beginning analysis
2019-07-26 04:33:27,782: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 04:33:28,077: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-26 04:33:28,572: [12] m.c.manticore:INFO: Results in /mcore_2gyoex3r
2019-07-26 04:33:29,403: [315] m.main:INFO: Registered plugins: DetectUninitializedStorage, DetectIntegerOverflow, DetectUnusedRetVal, DetectInvalid, DetectDelegatecall, DetectSuicidal, DetectEnvInstruction, DetectUninitializedMemory, DetectExternalCallAndLeak, DetectReentrancySimple, DetectReentrancyAdvanced
2019-07-26 04:33:29,404: [315] m.main:INFO: Beginning analysis
2019-07-26 04:33:29,443: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 04:33:30,685: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-26 04:33:31,804: [315] m.e.manticore:INFO: 0 alive states, 2 terminated states
2019-07-26 04:33:31,973: [315] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-07-26 04:33:32,180: [885] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(1 txs)
2019-07-26 04:33:32,189: [886] m.c.manticore:INFO: Generated testcase No. 1 - REVERT(2 txs)
2019-07-26 04:33:33,492: [315] m.c.manticore:INFO: Results in /mcore_piyviwwb
2019-07-26 04:33:34,688: [1200] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUninitializedStorage, DetectIntegerOverflow, DetectDelegatecall, DetectEnvInstruction, DetectReentrancyAdvanced, DetectUninitializedMemory, DetectUnusedRetVal, DetectExternalCallAndLeak
2019-07-26 04:33:34,689: [1200] m.main:INFO: Beginning analysis
2019-07-26 04:33:34,700: [1200] m.e.manticore:INFO: Starting symbolic create contract
2019-07-26 04:34:03,231: [1200] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-26 04:34:32,189: [2377] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 04:35:01,265: [2379] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-26 04:35:36,480: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 128)
2019-07-26 04:35:37,080: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 129)
2019-07-26 04:35:37,475: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 130)
2019-07-26 04:35:37,955: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 131)
2019-07-26 04:35:38,381: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 132)
2019-07-26 04:35:38,580: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 133)
2019-07-26 04:35:39,470: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 134)
2019-07-26 04:35:39,681: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 135)
2019-07-26 04:35:39,982: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 136)
2019-07-26 04:35:40,303: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 137)
2019-07-26 04:35:40,680: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 138)
2019-07-26 04:35:41,073: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 139)
2019-07-26 04:35:41,185: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 128)
2019-07-26 04:35:41,373: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 140)
2019-07-26 04:35:41,573: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 129)
2019-07-26 04:35:41,689: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 141)
2019-07-26 04:35:41,972: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 142)
2019-07-26 04:35:41,986: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 130)
2019-07-26 04:35:42,372: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 131)
2019-07-26 04:35:42,380: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 143)
2019-07-26 04:35:42,678: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 132)
2019-07-26 04:35:42,765: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 144)
2019-07-26 04:35:43,068: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 133)
2019-07-26 04:35:43,477: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 134)
2019-07-26 04:35:43,479: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 145)
2019-07-26 04:35:43,879: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 146)
2019-07-26 04:35:44,282: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 147)
2019-07-26 04:35:44,298: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 135)
2019-07-26 04:35:44,576: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 136)
2019-07-26 04:35:44,679: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 148)
2019-07-26 04:35:44,978: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 137)
2019-07-26 04:35:45,074: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 149)
2019-07-26 04:35:45,384: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 138)
2019-07-26 04:35:45,461: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 150)
2019-07-26 04:35:45,676: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 139)
2019-07-26 04:35:45,802: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 151)
2019-07-26 04:35:46,062: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 140)
2019-07-26 04:35:46,081: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 152)
2019-07-26 04:35:46,374: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 153)
2019-07-26 04:35:46,394: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 141)
2019-07-26 04:35:46,674: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 154)
2019-07-26 04:35:46,781: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 142)
2019-07-26 04:35:46,909: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 155)
2019-07-26 04:35:47,162: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 143)
2019-07-26 04:35:47,187: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 156)
2019-07-26 04:35:47,473: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 144)
2019-07-26 04:35:47,582: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 157)
2019-07-26 04:35:47,758: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 145)
2019-07-26 04:35:47,961: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 158)
2019-07-26 04:35:48,169: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 146)
2019-07-26 04:35:48,278: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 159)
2019-07-26 04:35:48,391: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 147)
2019-07-26 04:35:48,682: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 148)
2019-07-26 04:35:48,922: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 149)
2019-07-26 04:35:49,767: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 150)
2019-07-26 04:35:50,175: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 151)
2019-07-26 04:35:50,365: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 128)
2019-07-26 04:35:50,485: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 152)
2019-07-26 04:35:50,792: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 129)
2019-07-26 04:35:50,868: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 153)
2019-07-26 04:35:51,180: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 130)
2019-07-26 04:35:51,184: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 154)
2019-07-26 04:35:51,476: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 131)
2019-07-26 04:35:51,477: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 155)
2019-07-26 04:35:51,768: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 156)
2019-07-26 04:35:51,776: [2386] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 132)
2019-07-26 04:35:51,990: [2379] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 462626743683843513261469476225772132686312403546, offset 157)
