/unique_chucks/11/0x6103281b7d1f7862d692fda42dc06ece61a40547.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 26
column: 4
content: functionbuy(stringmessage)publicpayablereturns(bool){require(msg.value>=price);if(msg.value>price){balance[msg.sender]+=msg.value-price;}uint256previousHodlersCount=previousHodlers.length;for(uint256i=0;i<previousHodlersCount;i++){balance[previousHodlers[i]]+=(price*8/100)/previousHodlersCount;}balance[currentHodler]+=price*92/100;price=price*120/100;previousHodlers.push(currentHodler);messages.push(message);currentHodler=msg.sender;currentHodlerId=previousHodlersCount+1;emitPurchased(currentHodlerId,currentHodler);}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 33
column: 8
content: for(uint256i=0;i<previousHodlersCount;i++){balance[previousHodlers[i]]+=(price*8/100)/previousHodlersCount;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 26
column: 17
content: stringmessage

SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN :1
SOLIDITY_UPGRADE_TO_050 :1
SOLIDITY_GAS_LIMIT_IN_LOOPS :1
