2019-07-24 05:41:33,054: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUnusedRetVal, DetectUninitializedStorage, DetectEnvInstruction, DetectDelegatecall, DetectReentrancyAdvanced, DetectUninitializedMemory, DetectExternalCallAndLeak, DetectIntegerOverflow
2019-07-24 05:41:33,054: [12] m.main:INFO: Beginning analysis
2019-07-24 05:41:33,068: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 05:41:33,287: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-24 05:41:33,704: [12] m.c.manticore:INFO: Results in /mcore_uvc5i3pb
2019-07-24 05:41:34,462: [315] m.main:INFO: Registered plugins: DetectUnusedRetVal, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUninitializedMemory, DetectEnvInstruction, DetectDelegatecall, DetectIntegerOverflow, DetectReentrancyAdvanced, DetectExternalCallAndLeak, DetectUninitializedStorage
2019-07-24 05:41:34,462: [315] m.main:INFO: Beginning analysis
2019-07-24 05:41:34,474: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 05:41:51,689: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:41:52,891: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:42:17,063: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-24 05:43:00,328: [1535] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:43:54,155: [1520] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:44:06,658: [1520] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:44:16,249: [1532] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:44:18,738: [1541] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:45:18,471: [1518] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:45:35,218: [1520] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 05:45:50,154: [1518] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 05:48:13,867: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 128)
2019-07-24 05:48:16,338: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 129)
2019-07-24 05:48:22,466: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 130)
2019-07-24 05:48:24,758: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 131)
2019-07-24 05:48:26,526: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 132)
2019-07-24 05:48:28,651: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 133)
2019-07-24 05:48:30,050: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 134)
2019-07-24 05:48:32,167: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 135)
2019-07-24 05:48:34,302: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 136)
2019-07-24 05:48:37,222: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 137)
2019-07-24 05:48:39,602: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 138)
2019-07-24 05:48:42,855: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 139)
2019-07-24 05:48:44,843: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 140)
2019-07-24 05:48:50,146: [1518] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1222724188686897713129077764932663272200103336963, offset 141)
