/unique_contracts/0x79a8ddb299bb4af1f9ee206af9689dd687d8ede4.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_EXACT_TIME
patternId: 1955d9
severity: 2
line: 333
column: 20
content: information[ofAssets[i]].timestamp!=now

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 332
column: 8
content: for(uinti=0;i<ofAssets.length;++i){require(information[ofAssets[i]].timestamp!=now);require(information[ofAssets[i]].exists);information[ofAssets[i]].timestamp=now;information[ofAssets[i]].price=newPrices[i];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 367
column: 8
content: for(uinti;i<ofAssets.length;i++){if(!hasRecentPrice(ofAssets[i])){returnfalse;}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 411
column: 8
content: for(uinti;i<ofAssets.length;i++){var(isRecent,price,decimal)=getPrice(ofAssets[i]);if(!isRecent){areRecent=false;}prices[i]=price;decimals[i]=decimal;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 332
column: 8
content: for(uinti=0;i<ofAssets.length;++i){require(information[ofAssets[i]].timestamp!=now);require(information[ofAssets[i]].exists);information[ofAssets[i]].timestamp=now;information[ofAssets[i]].price=newPrices[i];}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 367
column: 8
content: for(uinti;i<ofAssets.length;i++){if(!hasRecentPrice(ofAssets[i])){returnfalse;}}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 411
column: 8
content: for(uinti;i<ofAssets.length;i++){var(isRecent,price,decimal)=getPrice(ofAssets[i]);if(!isRecent){areRecent=false;}prices[i]=price;decimals[i]=decimal;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 467
column: 15
content: if(getQuoteAsset()==ofBase){(isRecent,referencePrice,decimal)=getInvertedPrice(ofQuote);}else{revert();}

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 441gim
severity: 1
line: 163
column: 8
content: Assetasset=information[ofAsset]

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 441gim
severity: 1
line: 193
column: 8
content: Assetasset=information[ofAsset]

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 100
column: 4
content: functionOwned(){owner=msg.sender;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 102
column: 4
content: functionchangeOwner(addressofNewOwner)pre_cond(isOwner()){owner=ofNewOwner;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 149
column: 4
