/unique_chucks/13/0xee74792bd15d23a63e5357f599cbe1ec2f898bbc.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 67
column: 4
content: functionsetWhiteList(address_whitelisted)onlyOwner{whiteList[_whitelisted]=1;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 46
column: 4
content: functionIndorsePreSale(){isFinalized=false;owner=msg.sender;totalSupply=0;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 53
column: 4
content: function()payable{uint256checkedSupply=safeAdd(totalSupply,msg.value);require(msg.value>=minRequired);require(!isFinalized);require(checkedSupply<=maxLimit);require(whiteList[msg.sender]==1);balances[msg.sender]=safeAdd(balances[msg.sender],msg.value);totalSupply=safeAdd(totalSupply,msg.value);Contribution(msg.sender,msg.value);ethFundDeposit.transfer(this.balance);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 67
column: 4
content: functionsetWhiteList(address_whitelisted)onlyOwner{whiteList[_whitelisted]=1;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 72
column: 4
content: functionremoveWhiteList(address_whitelisted)onlyOwner{whiteList[_whitelisted]=0;}

SOLIDITY_VISIBILITY :4
SOLIDITY_OVERPOWERED_ROLE :1
SOLIDITY_PRAGMAS_VERSION :1
