2019-08-04 01:37:25,969: [12] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectIntegerOverflow, DetectUninitializedMemory, DetectDelegatecall
2019-08-04 01:37:25,969: [12] m.main:INFO: Beginning analysis
2019-08-04 01:37:26,023: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-04 01:37:26,161: [58] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-04 01:37:26,466: [12] m.c.manticore:INFO: Results in /mcore_w67hi736
2019-08-04 01:37:27,275: [315] m.main:INFO: Registered plugins: DetectEnvInstruction, DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectExternalCallAndLeak, DetectUninitializedStorage, DetectDelegatecall, DetectIntegerOverflow, DetectUninitializedMemory
2019-08-04 01:37:27,275: [315] m.main:INFO: Beginning analysis
2019-08-04 01:37:27,335: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-04 01:37:48,369: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:37:49,655: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:38:13,873: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-04 01:38:43,239: [1523] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:39:10,467: [1518] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 01:39:16,451: [1518] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:39:19,529: [1523] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:39:22,446: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 01:39:49,840: [1551] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 01:40:04,406: [1551] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 01:40:07,011: [1538] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-04 01:41:48,850: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 128)
2019-08-04 01:41:50,435: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 129)
2019-08-04 01:41:50,546: [1533] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-04 01:41:51,645: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 130)
2019-08-04 01:41:53,738: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 131)
2019-08-04 01:41:57,639: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 132)
2019-08-04 01:41:59,039: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 133)
2019-08-04 01:42:00,447: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 134)
2019-08-04 01:42:01,944: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 135)
2019-08-04 01:42:03,343: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 136)
2019-08-04 01:42:05,135: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 137)
2019-08-04 01:42:06,807: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 138)
2019-08-04 01:42:08,449: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 139)
2019-08-04 01:42:10,395: [1523] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 78224193364748258981249081850592029907740082954, offset 140)
