/unique_contracts/0x5fa34ce3d7d05e858b50bb38afa91c8b1a045688.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ERC20_APPROVE
patternId: af782c
severity: 2
line: 95
column: 4
content: functionapprove(address_spender,uint256_value)publicpayablereturns(bool){allowed[msg.sender][_spender]=_value;emitApproval(msg.sender,_spender,_value);returntrue;}

ruleId: SOLIDITY_ERC20_TRANSFER_SHOULD_THROW
patternId: 550a42
severity: 1
line: 72
column: 4
content: functiontransfer(address_to,uint256_value)publicpayablereturns(bool){if(balances[msg.sender]>=_value&&_value>0){balances[msg.sender]-=_value;balances[_to]+=_value;emitTransfer(msg.sender,_to,_value);returntrue;}else{returnfalse;}}

ruleId: SOLIDITY_ERC20_TRANSFER_SHOULD_THROW
patternId: 550a42
severity: 1
line: 81
column: 4
content: functiontransferFrom(address_from,address_to,uint256_value)publicpayablereturns(bool){if(balances[_from]>=_value&&allowed[_from][msg.sender]>=_value&&_value>0){balances[_to]+=_value;balances[_from]-=_value;allowed[_from][msg.sender]-=_value;emitTransfer(_from,_to,_value);returntrue;}else{returnfalse;}}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 31
column: 4
content: functiontotalSupply()publicpurereturns(uint256){}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 35
column: 4
content: functionbalanceOf(address)publicpayablereturns(uint256){}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 41
column: 4
content: functiontransfer(address,uint256)publicpayablereturns(bool){}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 48
column: 4
content: functiontransferFrom(address,address,uint256)publicpayablereturns(bool){}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 54
column: 4
content: functionapprove(address,uint256)publicpayablereturns(bool){}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 59
column: 4
content: functionallowance(address,address)publicpayablereturns(uint256){}

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 28
column: 0
content: contractToken{functiontotalSupply()publicpurereturns(uint256){}functionbalanceOf(address)publicpayablereturns(uint256){}functiontransfer(address,uint256)publicpayablereturns(bool){}functiontransferFrom(address,address,uint256)publicpayablereturns(bool){}functionapprove(address,uint256)publicpayablereturns(bool){}functionallowance(address,address)publicpayablereturns(uint256){}eventTransfer(addressindexed_from,addressindexed_to,uint256_value);eventApproval(addressindexed_owner,addressindexed_spender,uint256_value);}

ruleId: SOLIDITY_LOCKED_MONEY
patternId: 30281d
severity: 3
line: 70
column: 0
