2019-08-05 20:00:07,714: [12] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectSuicidal, DetectReentrancySimple, DetectInvalid, DetectExternalCallAndLeak, DetectEnvInstruction, DetectIntegerOverflow, DetectUninitializedStorage, DetectUnusedRetVal, DetectDelegatecall, DetectUninitializedMemory
2019-08-05 20:00:07,715: [12] m.main:INFO: Beginning analysis
2019-08-05 20:00:07,741: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-05 20:00:07,903: [58] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-05 20:00:08,097: [12] m.c.manticore:INFO: Results in /mcore_pw12vcv2
2019-08-05 20:00:08,830: [315] m.main:INFO: Registered plugins: DetectInvalid, DetectSuicidal, DetectReentrancySimple, DetectExternalCallAndLeak, DetectDelegatecall, DetectEnvInstruction, DetectIntegerOverflow, DetectUninitializedStorage, DetectUnusedRetVal, DetectUninitializedMemory, DetectReentrancyAdvanced
2019-08-05 20:00:08,831: [315] m.main:INFO: Beginning analysis
2019-08-05 20:00:08,850: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-05 20:00:27,246: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:00:28,291: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:00:49,936: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-05 20:01:14,956: [1550] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:01:39,653: [1524] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 20:01:44,566: [1524] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:01:46,448: [1532] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 20:01:48,840: [1550] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:02:15,636: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 20:02:28,956: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-05 20:02:30,960: [1540] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-05 20:03:51,360: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 128)
2019-08-05 20:03:52,958: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 129)
2019-08-05 20:03:54,457: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 130)
2019-08-05 20:03:56,632: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 131)
2019-08-05 20:03:59,329: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 132)
2019-08-05 20:04:00,910: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 133)
2019-08-05 20:04:02,252: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 134)
2019-08-05 20:04:05,358: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 135)
2019-08-05 20:04:07,125: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 136)
2019-08-05 20:04:08,640: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 137)
2019-08-05 20:04:10,155: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 138)
2019-08-05 20:04:11,757: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 139)
2019-08-05 20:04:13,549: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 140)
2019-08-05 20:04:15,059: [1524] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1036854026840055868626274645850350247008354390870, offset 141)
