/unique_chucks/1/0xe17dbb844ba602e189889d941d1297184ce63664.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_CALL_WITHOUT_DATA
patternId: om991k
severity: 2
line: 182
column: 20
content: call.value(_amount)()

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 187b5a
severity: 1
line: 224
column: 16
content: sha3

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 187b5a
severity: 1
line: 278
column: 18
content: sha3

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 187b5a
severity: 1
line: 297
column: 20
content: sha3

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 13
column: 2
content: functiontotalSupply()constantreturns(uint256supply);

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 14
column: 2
content: functionbalanceOf(address_owner)constantreturns(uint256balance);

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 18
column: 2
content: functionallowance(address_owner,address_spender)constantreturns(uint256remaining);

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 68
column: 2
content: functionaccountModifiers(address_user)constantreturns(uinttakeFeeDiscount,uintrebatePercentage);

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 69
column: 2
content: functiontradeModifiers(address_maker,address_taker)constantreturns(uinttakeFeeDiscount,uintrebatePercentage);

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 162
column: 2
content: functiongetAccountModifiers()constantreturns(uinttakeFeeDiscount,uintrebatePercentage){if(accountModifiers!=address(0)){returnAccountModifiersInterface(accountModifiers).accountModifiers(msg.sender);}else{return(0,0);}}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 209
column: 2
content: functionbalanceOf(address_token,address_user)constantreturns(uint){returntokens[_token][_user];}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 266
column: 2
content: functiontestTrade(address_tokenGet,uint_amountGet,address_tokenGive,uint_amountGive,uint_expires,uint_nonce,address_user,uint8_v,bytes32_r,bytes32_s,uint_amount,address_sender)constantreturns(bool){if(tokens[_tokenGet][_sender]<_amount||availableVolume(_tokenGet,_amountGet,_tokenGive,_amountGive,_expires,_nonce,_user,_v,_r,_s)<_amount){returnfalse;}returntrue;}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 275
column: 2
content: functionavailableVolume(address_tokenGet,uint_amountGet,address_tokenGive,uint_amountGive,uint_expires,uint_nonce,address_user,uint8_v,bytes32_r,bytes32_s)constantreturns(uint){bytes32hash=sha256(this,_tokenGet,_amountGet,_tokenGive,_amountGive,_expires,_nonce);if(ecrecover(sha3("\x19Ethereum Signed Message:\n32",hash),_v,_r,_s)!=_user||block.number>_expires){return0;}uintavailable1=safeSub(_amountGet,orderFills[_user][hash]);uintavailable2=safeMul(tokens[_tokenGive][_user],_amountGet)/_amountGive;if(available1<available2)returnavailable1;returnavailable2;}

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 288
column: 2
content: functionamountFilled(address_tokenGet,uint_amountGet,address_tokenGive,uint_amountGive,uint_expires,uint_nonce,address_user)constantreturns(uint){bytes32hash=sha256(this,_tokenGet,_amountGet,_tokenGive,_amountGive,_expires,_nonce);returnorderFills[_user][hash];}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 335
column: 4
content: for(n=0;n<_tokens.length;n++){addresstoken=_tokens[n];require(token!=address(0));uinttokenAmount=tokens[token][msg.sender];if(tokenAmount==0){continue;}if(!Token(token).approve(newExchange,tokenAmount)){revert();}tokens[token][msg.sender]=0;newExchange.depositTokenForUser(token,tokenAmount,msg.sender);}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 335
column: 4
content: for(n=0;n<_tokens.length;n++){addresstoken=_tokens[n];require(token!=address(0));uinttokenAmount=tokens[token][msg.sender];if(tokenAmount==0){continue;}if(!Token(token).approve(newExchange,tokenAmount)){revert();}tokens[token][msg.sender]=0;newExchange.depositTokenForUser(token,tokenAmount,msg.sender);}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_REDUNDANT_FALLBACK_REJECT
patternId: b85a32
severity: 1
line: 128
column: 13
content: {revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 182
column: 4
content: if(!msg.sender.call.value(_amount)()){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 192
column: 4
content: if(!Token(_token).transferFrom(msg.sender,this,_amount)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 203
column: 4
content: if(!Token(_token).transfer(msg.sender,_amount)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 224
column: 2
content: if(ecrecover(sha3("\x19Ethereum Signed Message:\n32",hash),_v,_r,_s)!=_user||block.number>_expires||safeAdd(orderFills[_user][hash],_amount)>_amountGet){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 297
column: 4
content: if(!(ecrecover(sha3("\x19Ethereum Signed Message:\n32",hash),_v,_r,_s)==msg.sender)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 318
column: 6
content: if(nextSuccessor==address(this)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 342
column: 6
content: if(!Token(token).approve(newExchange,tokenAmount)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 371
column: 4
content: if(!Token(_token).transferFrom(msg.sender,this,_amount)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 394
column: 6
content: if(msg.value!=totalValue){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 400
column: 6
content: if(!Token(_tokenGet).transferFrom(msg.sender,this,totalValue)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 404
column: 6
content: if(!Token(_tokenGet).approve(_store,totalValue)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 424
column: 6
content: if(!Token(_tokenGive).transfer(msg.sender,customerValue)){revert();}

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 435
column: 6
content: if(!Token(_token).transfer(msg.sender,amount)){revert();}

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 83k1no
severity: 1
line: 182
column: 20
content: call.value(_amount)()

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 13
column: 2
content: functiontotalSupply()constantreturns(uint256supply);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 14
column: 2
content: functionbalanceOf(address_owner)constantreturns(uint256balance);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 15
column: 2
content: functiontransfer(address_to,uint256_value)returns(boolsuccess);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 16
column: 2
content: functiontransferFrom(address_from,address_to,uint256_value)returns(boolsuccess);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 17
column: 2
content: functionapprove(address_spender,uint256_value)returns(boolsuccess);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 18
column: 2
content: functionallowance(address_owner,address_spender)constantreturns(uint256remaining);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 50
column: 2
content: functionOwnable(){owner=msg.sender;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 59
column: 2
content: functiontransferOwnership(address_newOwner)onlyOwner{require(_newOwner!=address(0));owner=_newOwner;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 68
column: 2
content: functionaccountModifiers(address_user)constantreturns(uinttakeFeeDiscount,uintrebatePercentage);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 69
column: 2
content: functiontradeModifiers(address_maker,address_taker)constantreturns(uinttakeFeeDiscount,uintrebatePercentage);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 75
column: 2
content: functiontradeComplete(address_tokenGet,uint_amountGet,address_tokenGive,uint_amountGive,address_get,address_give,uint_takerFee,uint_makerRebate);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 115
column: 2
content: functionTokenStore(uint_fee,address_predecessor){feeAccount=owner;fee=_fee;predecessor=_predecessor;deprecated=false;if(predecessor!=address(0)){version=TokenStore(predecessor).version()+1;}else{version=1;}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 128
column: 2
content: function(){revert();}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 137
column: 2
content: functiondeprecate(bool_deprecated,address_successor)onlyOwner{deprecated=_deprecated;successor=_successor;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 142
column: 2
content: functionchangeFeeAccount(address_feeAccount)onlyOwner{require(_feeAccount!=address(0));feeAccount=_feeAccount;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 147
column: 2
content: functionchangeAccountModifiers(address_accountModifiers)onlyOwner{accountModifiers=_accountModifiers;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 151
column: 2
content: functionchangeTradeTracker(address_tradeTracker)onlyOwner{tradeTracker=_tradeTracker;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 156
column: 2
content: functionchangeFee(uint_fee)onlyOwner{require(_fee<=fee);fee=_fee;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 162
column: 2
content: functiongetAccountModifiers()constantreturns(uinttakeFeeDiscount,uintrebatePercentage){if(accountModifiers!=address(0)){returnAccountModifiersInterface(accountModifiers).accountModifiers(msg.sender);}else{return(0,0);}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 174
column: 2
content: functiondeposit()payabledeprecable{tokens[0][msg.sender]=safeAdd(tokens[0][msg.sender],msg.value);Deposit(0,msg.sender,msg.value,tokens[0][msg.sender]);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 179
column: 2
content: functionwithdraw(uint_amount){require(tokens[0][msg.sender]>=_amount);tokens[0][msg.sender]=safeSub(tokens[0][msg.sender],_amount);if(!msg.sender.call.value(_amount)()){revert();}Withdraw(0,msg.sender,_amount,tokens[0][msg.sender]);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 188
column: 2
