2019-07-24 22:16:36,403: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall, DetectIntegerOverflow
2019-07-24 22:16:36,403: [12] m.main:INFO: Beginning analysis
2019-07-24 22:16:36,473: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 22:16:36,775: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-24 22:16:37,287: [12] m.c.manticore:INFO: Results in /mcore_kidc8suc
2019-07-24 22:16:38,188: [315] m.main:INFO: Registered plugins: DetectDelegatecall, DetectIntegerOverflow, DetectUninitializedMemory, DetectInvalid, DetectUnusedRetVal, DetectReentrancySimple, DetectExternalCallAndLeak, DetectSuicidal, DetectEnvInstruction, DetectUninitializedStorage, DetectReentrancyAdvanced
2019-07-24 22:16:38,188: [315] m.main:INFO: Beginning analysis
2019-07-24 22:16:38,241: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 22:16:56,973: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:16:58,462: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:17:25,883: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-24 22:18:13,099: [1517] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:19:12,966: [1531] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 22:19:26,225: [1531] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:19:36,368: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 22:19:42,517: [1527] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:20:42,445: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 22:21:14,363: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 22:21:17,852: [1520] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 22:24:39,749: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 128)
2019-07-24 22:24:49,125: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 129)
2019-07-24 22:24:53,449: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 130)
2019-07-24 22:24:57,545: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 131)
2019-07-24 22:25:00,462: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 132)
2019-07-24 22:25:03,927: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 133)
2019-07-24 22:25:07,569: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 134)
2019-07-24 22:25:11,939: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 135)
2019-07-24 22:25:15,577: [1517] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 22:25:15,846: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 136)
2019-07-24 22:25:19,454: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 137)
2019-07-24 22:25:22,354: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 138)
2019-07-24 22:25:27,941: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 139)
2019-07-24 22:25:30,664: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 140)
2019-07-24 22:25:39,425: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 141)
2019-07-24 22:25:43,149: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 142)
2019-07-24 22:25:47,013: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 143)
2019-07-24 22:25:50,225: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 144)
2019-07-24 22:25:53,665: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 145)
2019-07-24 22:25:57,457: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 146)
2019-07-24 22:26:02,676: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 147)
2019-07-24 22:26:07,242: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 148)
2019-07-24 22:26:11,521: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 149)
2019-07-24 22:26:15,430: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 150)
2019-07-24 22:26:18,434: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 151)
2019-07-24 22:26:22,035: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 152)
2019-07-24 22:26:25,941: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 153)
2019-07-24 22:26:29,273: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 154)
2019-07-24 22:26:31,645: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 128)
2019-07-24 22:26:37,061: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 129)
2019-07-24 22:26:38,917: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 155)
2019-07-24 22:26:40,613: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 130)
2019-07-24 22:26:44,170: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 156)
2019-07-24 22:26:47,222: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 157)
2019-07-24 22:26:50,257: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 158)
2019-07-24 22:26:50,441: [1526] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 131)
2019-07-24 22:26:53,833: [1527] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 391641416891598664975302348305740409547674994777, offset 159)
