2019-07-24 16:11:55,074: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall, DetectIntegerOverflow
2019-07-24 16:11:55,075: [12] m.main:INFO: Beginning analysis
2019-07-24 16:11:55,102: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 16:11:55,353: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-24 16:11:55,828: [12] m.c.manticore:INFO: Results in /mcore_16aalta7
2019-07-24 16:11:56,615: [315] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectExternalCallAndLeak, DetectSuicidal, DetectReentrancyAdvanced, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall, DetectIntegerOverflow
2019-07-24 16:11:56,616: [315] m.main:INFO: Beginning analysis
2019-07-24 16:11:56,631: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 16:12:38,330: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-24 16:14:16,907: [1732] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:14:36,619: [1719] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:14:55,125: [1728] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:15:26,213: [1721] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:16:01,407: [1734] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:16:06,307: [1721] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:16:34,697: [1734] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:19:09,325: [1722] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 16:19:45,684: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 128)
2019-07-24 16:19:51,965: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 129)
2019-07-24 16:19:54,901: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 130)
2019-07-24 16:19:57,228: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 131)
2019-07-24 16:20:00,127: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 132)
2019-07-24 16:20:02,824: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 133)
2019-07-24 16:20:05,763: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 134)
2019-07-24 16:20:07,819: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 135)
2019-07-24 16:20:11,075: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 136)
2019-07-24 16:20:14,163: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 137)
2019-07-24 16:20:16,971: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 138)
2019-07-24 16:20:22,630: [1721] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1020847357215887041546370164456724091507220845725, offset 139)
