2019-07-24 01:38:09,794: [12] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectIntegerOverflow, DetectUninitializedMemory, DetectDelegatecall
2019-07-24 01:38:09,794: [12] m.main:INFO: Beginning analysis
2019-07-24 01:38:09,843: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 01:38:10,069: [57] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-24 01:38:10,664: [12] m.c.manticore:INFO: Results in /mcore_vvw_3hr2
2019-07-24 01:38:11,589: [315] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectReentrancyAdvanced, DetectDelegatecall
2019-07-24 01:38:11,589: [315] m.main:INFO: Beginning analysis
2019-07-24 01:38:11,639: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-07-24 01:38:32,062: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:38:34,559: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:39:26,083: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-24 01:40:12,841: [1647] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:40:31,650: [1648] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:41:19,814: [1647] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 01:41:34,810: [1657] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-07-24 01:41:35,862: [1647] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:43:23,322: [1656] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:45:50,067: [1650] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:48:15,630: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 128)
2019-07-24 01:48:19,154: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 129)
2019-07-24 01:48:22,754: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 130)
2019-07-24 01:48:26,414: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 131)
2019-07-24 01:48:34,658: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 132)
2019-07-24 01:48:34,802: [1650] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:48:38,626: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 133)
2019-07-24 01:48:41,170: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 134)
2019-07-24 01:48:44,153: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 135)
2019-07-24 01:48:47,727: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 136)
2019-07-24 01:48:51,138: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 137)
2019-07-24 01:48:53,958: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 138)
2019-07-24 01:48:57,066: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 139)
2019-07-24 01:49:00,230: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 140)
2019-07-24 01:49:02,922: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 128)
2019-07-24 01:49:04,566: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 141)
2019-07-24 01:49:06,206: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 129)
2019-07-24 01:49:07,927: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 142)
2019-07-24 01:49:09,426: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 130)
2019-07-24 01:49:11,073: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 143)
2019-07-24 01:49:12,871: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 131)
2019-07-24 01:49:16,322: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 132)
2019-07-24 01:49:20,806: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 133)
2019-07-24 01:49:20,914: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 144)
2019-07-24 01:49:23,742: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 145)
2019-07-24 01:49:24,335: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 134)
2019-07-24 01:49:26,906: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 146)
2019-07-24 01:49:27,734: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 135)
2019-07-24 01:49:30,102: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 147)
2019-07-24 01:49:30,758: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 136)
2019-07-24 01:49:33,230: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 148)
2019-07-24 01:49:34,838: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 137)
2019-07-24 01:49:36,054: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 149)
2019-07-24 01:49:38,230: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 138)
2019-07-24 01:49:39,406: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 150)
2019-07-24 01:49:42,350: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 151)
2019-07-24 01:49:45,654: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 152)
2019-07-24 01:49:47,454: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 139)
2019-07-24 01:49:48,258: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 153)
2019-07-24 01:49:50,454: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 140)
2019-07-24 01:49:51,722: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 154)
2019-07-24 01:49:53,267: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 141)
2019-07-24 01:49:55,734: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 155)
2019-07-24 01:49:57,426: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 142)
2019-07-24 01:49:59,066: [1654] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-07-24 01:50:00,226: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 156)
2019-07-24 01:50:00,918: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 143)
2019-07-24 01:50:03,318: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 157)
2019-07-24 01:50:04,422: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 144)
2019-07-24 01:50:07,914: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 145)
2019-07-24 01:50:11,270: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 146)
2019-07-24 01:50:13,744: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 158)
2019-07-24 01:50:15,002: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 147)
2019-07-24 01:50:18,338: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 159)
2019-07-24 01:50:18,540: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 148)
2019-07-24 01:50:21,923: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 149)
2019-07-24 01:50:27,555: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 150)
2019-07-24 01:50:31,238: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 151)
2019-07-24 01:50:31,738: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 128)
2019-07-24 01:50:35,670: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 129)
2019-07-24 01:50:39,734: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 130)
2019-07-24 01:50:42,810: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 131)
2019-07-24 01:50:43,124: [1647] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 152)
2019-07-24 01:50:46,438: [1653] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 252755616380784330042851004578663647759417376554, offset 132)
