/unique_chucks/37/0x6b9c8c4e246f43cac225a64aee0c50434e61d7a4.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_CALL_WITHOUT_DATA
patternId: om991k
severity: 2
line: 110
column: 17
content: call.value(contract_eth_value)()

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 187b5a
severity: 1
line: 116
column: 12
content: sha3

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 6
column: 2
content: functionbalanceOf(address_owner)constantreturns(uint256balance);

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 83k1no
severity: 1
line: 110
column: 17
content: call.value(contract_eth_value)()

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 5
column: 2
content: functiontransfer(address_to,uint256_value)returns(boolsuccess);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 6
column: 2
content: functionbalanceOf(address_owner)constantreturns(uint256balance);

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 35
column: 2
content: functionEquio(string_name,address_sale,address_token,bytes32_password_hash,uint256_earliest_buy_block,uint256_earliest_buy_time)payable{creator=msg.sender;name=_name;sale=_sale;token=ERC20(_token);password_hash=_password_hash;earliest_buy_block=_earliest_buy_block;earliest_buy_time=_earliest_buy_time;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 82
column: 2
content: functionauto_withdraw(addressuser){require(bought_tokens&&now>time_bought+1hours);withdraw(user);}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 91
column: 2
content: functionbuy_sale(){require(bought_tokens);require(block.number<earliest_buy_block);require(now<earliest_buy_time);require(!kill_switch);bought_tokens=true;time_bought=now;contract_eth_value=this.balance;require(sale.call.value(contract_eth_value)());}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 114
column: 2
content: functionactivate_kill_switch(stringpassword){require(sha3(password)==password_hash);kill_switch=true;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 122
column: 2
content: functiondefault_helper()payable{if(msg.value<=1finney){withdraw(msg.sender);}else{require(!kill_switch);require(!bought_tokens);balances[msg.sender]+=msg.value;}}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 138
column: 2
content: function()payable{require(msg.sender!=address(sale));default_helper();}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 152
column: 2
content: functiongenerate(string_name,address_sale,address_token,bytes32_password_hash,uint256_earliest_buy_block,uint256_earliest_buy_time)returns(EquioequioAddess){returnnewEquio(_name,_sale,_token,_password_hash,_earliest_buy_block,_earliest_buy_time);}

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 23
column: 2
content: stringname;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 29
column: 2
content: bytes32password_hash;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 31
column: 2
content: uint256earliest_buy_block;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 33
column: 2
content: uint256earliest_buy_time;

SOLIDITY_VISIBILITY :13
SOLIDITY_DEPRECATED_CONSTRUCTIONS :2
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_UPGRADE_TO_050 :1
SOLIDITY_CALL_WITHOUT_DATA :1
