2019-08-01 03:45:13,397: [12] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectDelegatecall, DetectIntegerOverflow, DetectUninitializedMemory, DetectUnusedRetVal, DetectInvalid, DetectReentrancySimple, DetectExternalCallAndLeak, DetectEnvInstruction, DetectSuicidal, DetectUninitializedStorage
2019-08-01 03:45:13,397: [12] m.main:INFO: Beginning analysis
2019-08-01 03:45:13,430: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-01 03:45:13,564: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-01 03:45:13,947: [12] m.c.manticore:INFO: Results in /mcore_hsnq43qx
2019-08-01 03:45:14,797: [315] m.main:INFO: Registered plugins: DetectUninitializedStorage, DetectInvalid, DetectDelegatecall, DetectUnusedRetVal, DetectSuicidal, DetectUninitializedMemory, DetectIntegerOverflow, DetectExternalCallAndLeak, DetectReentrancySimple, DetectEnvInstruction, DetectReentrancyAdvanced
2019-08-01 03:45:14,797: [315] m.main:INFO: Beginning analysis
2019-08-01 03:45:14,838: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-01 03:45:21,480: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-01 03:46:13,646: [315] m.e.manticore:INFO: 8 alive states, 16 terminated states
2019-08-01 03:46:18,107: [315] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-08-01 03:57:21,036: [3691] m.c.worker:ERROR: Exception in state 2: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-01 04:02:40,206: [3697] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-01 04:07:18,185: [3717] m.c.worker:ERROR: Exception in state 8: SolverError('',)
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/worker.py", line 121, in run
    current_state.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/ethereum/state.py", line 6, in execute
    return self._platform.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 2684, in execute
    self.current_vm.execute()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1210, in execute
    last_pc, last_gas, instruction, arguments, fee, allocated = self._checkpoint()
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 1109, in _checkpoint
    self._consume(fee)
  File "/usr/local/lib/python3.6/dist-packages/manticore/platforms/evm.py", line 972, in _consume
    self.constraints, constraint
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 436, in get_all_values
    while self._is_sat():
  File "/usr/local/lib/python3.6/dist-packages/manticore/core/smtlib/solver.py", line 328, in _is_sat
    raise SolverError(status)
manticore.exceptions.SolverError
 
2019-08-01 04:07:19,444: [315] m.e.manticore:INFO: 62 alive states, 144 terminated states
2019-08-01 04:07:27,317: [27856] m.c.manticore:INFO: Generated testcase No. 1 - RETURN(3 txs)
2019-08-01 04:07:27,515: [27851] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(3 txs)
2019-08-01 04:07:27,632: [27845] m.c.manticore:INFO: Generated testcase No. 2 - RETURN(3 txs)
2019-08-01 04:07:27,675: [27871] m.c.manticore:INFO: Generated testcase No. 4 - RETURN(3 txs)
2019-08-01 04:07:27,805: [27891] m.c.manticore:INFO: Generated testcase No. 5 - RETURN(3 txs)
2019-08-01 04:07:27,808: [27847] m.c.manticore:INFO: Generated testcase No. 3 - RETURN(3 txs)
2019-08-01 04:07:27,926: [27886] m.c.manticore:INFO: Generated testcase No. 7 - RETURN(3 txs)
2019-08-01 04:07:27,976: [27879] m.c.manticore:INFO: Generated testcase No. 6 - RETURN(3 txs)
2019-08-01 04:07:28,010: [27892] m.c.manticore:INFO: Generated testcase No. 8 - RETURN(3 txs)
2019-08-01 04:07:28,574: [27861] m.c.manticore:INFO: Generated testcase No. 9 - RETURN(3 txs)
2019-08-01 04:08:58,199: [27886] m.c.manticore:INFO: Generated testcase No. 10 - RETURN(3 txs)
2019-08-01 04:09:07,420: [27891] m.c.manticore:INFO: Generated testcase No. 11 - RETURN(3 txs)
2019-08-01 04:09:16,289: [27892] m.c.manticore:INFO: Generated testcase No. 12 - RETURN(3 txs)
2019-08-01 04:09:38,496: [27856] m.c.manticore:INFO: Generated testcase No. 13 - RETURN(3 txs)
2019-08-01 04:09:41,575: [27871] m.c.manticore:INFO: Generated testcase No. 14 - RETURN(3 txs)
2019-08-01 04:09:52,904: [27845] m.c.manticore:INFO: Generated testcase No. 15 - RETURN(3 txs)
2019-08-01 04:09:57,081: [27847] m.c.manticore:INFO: Generated testcase No. 16 - RETURN(3 txs)
2019-08-01 04:10:01,621: [27851] m.c.manticore:INFO: Generated testcase No. 17 - RETURN(3 txs)
2019-08-01 04:10:02,487: [27879] m.c.manticore:INFO: Generated testcase No. 18 - RETURN(3 txs)
2019-08-01 04:10:08,387: [27861] m.c.manticore:INFO: Generated testcase No. 19 - RETURN(3 txs)
2019-08-01 04:11:17,788: [27886] m.c.manticore:INFO: Generated testcase No. 20 - RETURN(3 txs)
2019-08-01 04:11:21,393: [27891] m.c.manticore:INFO: Generated testcase No. 21 - RETURN(3 txs)
2019-08-01 04:11:25,294: [27847] m.c.manticore:INFO: Generated testcase No. 22 - RETURN(3 txs)
2019-08-01 04:11:33,627: [27845] m.c.manticore:INFO: Generated testcase No. 23 - RETURN(3 txs)
2019-08-01 04:11:37,381: [27892] m.c.manticore:INFO: Generated testcase No. 24 - RETURN(3 txs)
2019-08-01 04:11:43,415: [27856] m.c.manticore:INFO: Generated testcase No. 25 - RETURN(3 txs)
2019-08-01 04:11:44,380: [27871] m.c.manticore:INFO: Generated testcase No. 26 - RETURN(3 txs)
2019-08-01 04:11:45,103: [27879] m.c.manticore:INFO: Generated testcase No. 27 - RETURN(3 txs)
2019-08-01 04:11:56,880: [27861] m.c.manticore:INFO: Generated testcase No. 28 - RETURN(3 txs)
2019-08-01 04:11:58,090: [27851] m.c.manticore:INFO: Generated testcase No. 29 - RETURN(3 txs)
2019-08-01 04:12:52,992: [27886] m.c.manticore:INFO: Generated testcase No. 30 - RETURN(3 txs)
2019-08-01 04:12:53,889: [27891] m.c.manticore:INFO: Generated testcase No. 31 - RETURN(3 txs)
2019-08-01 04:13:01,777: [27845] m.c.manticore:INFO: Generated testcase No. 32 - RETURN(3 txs)
2019-08-01 04:13:03,603: [27892] m.c.manticore:INFO: Generated testcase No. 33 - RETURN(3 txs)
2019-08-01 04:13:05,995: [27847] m.c.manticore:INFO: Generated testcase No. 34 - RETURN(3 txs)
2019-08-01 04:13:12,613: [27879] m.c.manticore:INFO: Generated testcase No. 35 - RETURN(3 txs)
2019-08-01 04:13:15,116: [27871] m.c.manticore:INFO: Generated testcase No. 36 - RETURN(3 txs)
2019-08-01 04:13:15,479: [27856] m.c.manticore:INFO: Generated testcase No. 37 - RETURN(3 txs)
2019-08-01 04:13:33,309: [27851] m.c.manticore:INFO: Generated testcase No. 38 - RETURN(3 txs)
2019-08-01 04:13:45,833: [27861] m.c.manticore:INFO: Generated testcase No. 39 - RETURN(3 txs)
2019-08-01 04:14:31,932: [27891] m.c.manticore:INFO: Generated testcase No. 40 - RETURN(3 txs)
2019-08-01 04:14:32,088: [27886] m.c.manticore:INFO: Generated testcase No. 41 - RETURN(3 txs)
2019-08-01 04:14:40,713: [27845] m.c.manticore:INFO: Generated testcase No. 42 - RETURN(3 txs)
2019-08-01 04:14:41,035: [27847] m.c.manticore:INFO: Generated testcase No. 43 - RETURN(3 txs)
2019-08-01 04:14:43,514: [27892] m.c.manticore:INFO: Generated testcase No. 44 - RETURN(3 txs)
2019-08-01 04:14:49,809: [27856] m.c.manticore:INFO: Generated testcase No. 45 - RETURN(3 txs)
2019-08-01 04:14:51,487: [27879] m.c.manticore:INFO: Generated testcase No. 46 - RETURN(3 txs)
2019-08-01 04:14:56,898: [27871] m.c.manticore:INFO: Generated testcase No. 47 - RETURN(3 txs)
