2019-08-02 04:18:13,451: [12] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectSuicidal, DetectUnusedRetVal, DetectUninitializedStorage, DetectIntegerOverflow, DetectDelegatecall, DetectEnvInstruction, DetectReentrancyAdvanced, DetectUninitializedMemory, DetectExternalCallAndLeak
2019-08-02 04:18:13,451: [12] m.main:INFO: Beginning analysis
2019-08-02 04:18:13,462: [12] m.e.manticore:INFO: Starting symbolic create contract
2019-08-02 04:18:13,564: [56] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-08-02 04:18:13,769: [12] m.c.manticore:INFO: Results in /mcore_ro53kghh
2019-08-02 04:18:14,495: [315] m.main:INFO: Registered plugins: DetectEnvInstruction, DetectReentrancySimple, DetectInvalid, DetectDelegatecall, DetectSuicidal, DetectUninitializedStorage, DetectIntegerOverflow, DetectUnusedRetVal, DetectExternalCallAndLeak, DetectReentrancyAdvanced, DetectUninitializedMemory
2019-08-02 04:18:14,496: [315] m.main:INFO: Beginning analysis
2019-08-02 04:18:14,518: [315] m.e.manticore:INFO: Starting symbolic create contract
2019-08-02 04:18:34,242: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:18:35,442: [363] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:19:00,397: [315] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-08-02 04:19:28,443: [1518] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:19:54,423: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-02 04:20:00,387: [1516] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:20:04,130: [1560] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:20:04,503: [1528] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-02 04:20:34,470: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-02 04:20:49,195: [1516] m.e.detectors:WARNING: Potentially reading uninitialized storage
2019-08-02 04:20:53,996: [1560] m.e.detectors:WARNING: Unsigned integer overflow at MUL instruction
2019-08-02 04:22:23,144: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 128)
2019-08-02 04:22:27,946: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 129)
2019-08-02 04:22:29,639: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 130)
2019-08-02 04:22:30,939: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 131)
2019-08-02 04:22:32,545: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 132)
2019-08-02 04:22:34,335: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 133)
2019-08-02 04:22:36,095: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 134)
2019-08-02 04:22:37,831: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 135)
2019-08-02 04:22:39,439: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 136)
2019-08-02 04:22:41,239: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 137)
2019-08-02 04:22:43,910: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 138)
2019-08-02 04:22:45,535: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 139)
2019-08-02 04:22:47,479: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 140)
2019-08-02 04:22:51,586: [1535] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 2116508473830229731798969105368258661719480592, offset 141)
