2019-07-25 05:24:06,665: [13] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectExternalCallAndLeak, DetectReentrancyAdvanced, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall
2019-07-25 05:24:06,665: [13] m.main:INFO: Beginning analysis
2019-07-25 05:24:06,682: [13] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 05:24:10,163: [13] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-25 05:24:15,593: [13] m.e.manticore:INFO: 1 alive states, 7 terminated states
2019-07-25 05:24:16,854: [13] m.e.manticore:INFO: Starting symbolic transaction: 1
2019-07-25 05:24:23,208: [13] m.e.manticore:INFO: 1 alive states, 14 terminated states
2019-07-25 05:24:24,567: [1753] m.c.manticore:INFO: Generated testcase No. 0 - RETURN(1 txs)
2019-07-25 05:24:24,630: [1752] m.c.manticore:INFO: Generated testcase No. 1 - RETURN(3 txs)
2019-07-25 05:24:24,665: [1755] m.c.manticore:INFO: Generated testcase No. 2 - REVERT(2 txs)
2019-07-25 05:24:24,864: [1759] m.c.manticore:INFO: Generated testcase No. 3 - REVERT(2 txs)
2019-07-25 05:24:24,875: [1769] m.c.manticore:INFO: Generated testcase No. 5 - REVERT(2 txs)
2019-07-25 05:24:24,965: [1766] m.c.manticore:INFO: Generated testcase No. 4 - REVERT(2 txs)
2019-07-25 05:24:25,057: [1757] m.c.manticore:INFO: Generated testcase No. 6 - REVERT(2 txs)
2019-07-25 05:24:25,153: [1762] m.c.manticore:INFO: Generated testcase No. 8 - REVERT(2 txs)
2019-07-25 05:24:25,156: [1765] m.c.manticore:INFO: Generated testcase No. 7 - REVERT(3 txs)
2019-07-25 05:24:25,259: [1767] m.c.manticore:INFO: Generated testcase No. 9 - RETURN(2 txs)
2019-07-25 05:24:48,566: [1753] m.c.manticore:INFO: Generated testcase No. 10 - REVERT(3 txs)
2019-07-25 05:24:48,739: [1755] m.c.manticore:INFO: Generated testcase No. 11 - REVERT(3 txs)
2019-07-25 05:24:51,279: [1769] m.c.manticore:INFO: Generated testcase No. 12 - REVERT(3 txs)
2019-07-25 05:24:52,126: [1759] m.c.manticore:INFO: Generated testcase No. 13 - REVERT(3 txs)
2019-07-25 05:24:52,540: [1757] m.c.manticore:INFO: Generated testcase No. 14 - REVERT(3 txs)
2019-07-25 05:25:09,900: [13] m.c.manticore:INFO: Results in /mcore_28zfcdl1
2019-07-25 05:25:12,554: [2503] m.main:INFO: Registered plugins: DetectReentrancyAdvanced, DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectExternalCallAndLeak, DetectEnvInstruction, DetectUninitializedMemory, DetectDelegatecall
2019-07-25 05:25:12,554: [2503] m.main:INFO: Beginning analysis
2019-07-25 05:25:12,586: [2503] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 05:25:12,905: [2547] m.c.manticore:INFO: Generated testcase No. 0 - NO STATE RESULT (?)(0 txs)
2019-07-25 05:25:13,482: [2503] m.c.manticore:INFO: Results in /mcore_a731kven
2019-07-25 05:25:14,185: [2806] m.main:INFO: Registered plugins: DetectReentrancySimple, DetectInvalid, DetectUnusedRetVal, DetectEnvInstruction, DetectReentrancyAdvanced, DetectUninitializedStorage, DetectIntegerOverflow, DetectSuicidal, DetectExternalCallAndLeak, DetectUninitializedMemory, DetectDelegatecall
2019-07-25 05:25:14,186: [2806] m.main:INFO: Beginning analysis
2019-07-25 05:25:14,195: [2806] m.e.manticore:INFO: Starting symbolic create contract
2019-07-25 05:25:55,160: [2806] m.e.manticore:INFO: Starting symbolic transaction: 0
2019-07-25 05:31:54,382: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 128)
2019-07-25 05:31:55,876: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 129)
2019-07-25 05:31:57,078: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 130)
2019-07-25 05:32:00,078: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 131)
2019-07-25 05:32:01,670: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 132)
2019-07-25 05:32:03,066: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 133)
2019-07-25 05:32:04,241: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 134)
2019-07-25 05:32:05,551: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 135)
2019-07-25 05:32:07,471: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 136)
2019-07-25 05:32:08,774: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 137)
2019-07-25 05:32:10,237: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 138)
2019-07-25 05:32:11,779: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 139)
2019-07-25 05:32:14,493: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 140)
2019-07-25 05:32:16,061: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 141)
2019-07-25 05:32:17,453: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 142)
2019-07-25 05:32:19,570: [3925] m.e.detectors:WARNING: Potentially reading uninitialized memory at instruction (address: 1308532003146753101089977267989482209296655133859, offset 143)
